ID,Department Name,Parent Department/External ID
100000-101078-103632-100418-101375-101380-101953,CSB/PPT/Surrey/D,100000-101078-103632-100418-101375-101380
100000-101078-103632-100418-100470,CS (W-T)-Lower Mainland West,100000-101078-103632-100418
100000-101078-103632-100418-100470-101533,CS (W-T)/LMW/West,100000-101078-103632-100418-100470
100000-101078-103632-100418-100470-101533-100497,CSB/LMW/BurnabyBSCC,100000-101078-103632-100418-100470-101533
100000-101078-103632-100418-100470-101533-100498,CSB/LMW/NewWestSCC,100000-101078-103632-100418-100470-101533
100000-101078-103632-100418-100470-101533-100499,CSB/LMW/RichmondSCC,100000-101078-103632-100418-100470-101533
100000-101078-103632-100418-100470-101533-100492,CSB/LMW/VanEastASCC,100000-101078-103632-100418-100470-101533
100000-101078-103632-100418-100470-101544,CS (W-T)/LMW/East,100000-101078-103632-100418-100470
100000-101078-103632-100418-100470-101544-100494,CSB/LMW/NShoreSCC,100000-101078-103632-100418-100470-101544
100000-101078-103632-100418-100470-101544-100495,CSB/LMW/SquamishSCC,100000-101078-103632-100418-100470-101544
100000-101078-103632-100418-100470-101544-100493,CSB/LMW/SinclairCtrSCC,100000-101078-103632-100418-100470-101544
100000-101078-103632-100418-100470-101544-102153,CSB/LMW/VanEastBSCC,100000-101078-103632-100418-100470-101544
100000-101078-103632-100418-100470-101379,CS (W-T)/Lower Mainland West-,100000-101078-103632-100418-100470
100000-101078-103632-100418-100470-101379-101941,CSB/PPT/Vanc/C,100000-101078-103632-100418-100470-101379
100000-101078-103632-100418-100470-101379-101944,CSB/PPT/Vanc/F,100000-101078-103632-100418-100470-101379
100000-101078-103632-100418-101376,CS(W-T)/Vancouver Island/Coast,100000-101078-103632-100418
100000-101078-103632-100418-101376-105697,CSB/SCC/VIC,100000-101078-103632-100418-101376
100000-101078-103632-100418-101376-105697-100507,CSB/SCC/Comox Valley,100000-101078-103632-100418-101376-105697
100000-101078-103632-100418-101376-105697-100505,CSB/VIC/DuncanSCC,100000-101078-103632-100418-101376-105697
100000-101078-103632-100418-101376-105697-102150,CSB/VIC/NamaimoBSCC,100000-101078-103632-100418-101376-105697
100000-101078-103632-100418-101376-101542,CS(W-T)/Vancouver Island/Coast,100000-101078-103632-100418-101376
100000-101078-103632-100418-101376-101542-100508,CSB/VIC/CmpbllRvrSCC,100000-101078-103632-100418-101376-101542
100000-101078-103632-100418-101376-101542-100512,CSB/VIC/TerraceSCC,100000-101078-103632-100418-101376-101542
100000-101078-103632-100418-101376-101534,CS(W-T)/Vancouver Island/Coast,100000-101078-103632-100418-101376
